Day,PCOS: Worldwide,Polycystic ovary syndrome: Worldwide,PCOS: United States,Polycystic ovary syndrome: United States
2/12/2018,47,63,24,31
2/13/2018,43,53,32,32
2/14/2018,40,47,32,30
2/15/2018,38,54,31,27
2/16/2018,38,45,30,29
2/17/2018,33,44,22,22
2/18/2018,26,50,25,34
2/19/2018,40,51,21,27
2/20/2018,40,60,31,31
2/21/2018,49,68,30,29
2/22/2018,40,52,29,31
2/23/2018,44,51,27,29
2/24/2018,42,49,26,31
2/25/2018,35,48,27,35
2/26/2018,49,57,40,45
2/27/2018,100,100,100,100
2/28/2018,59,66,46,61
3/1/2018,61,72,44,49
3/2/2018,49,59,38,43
3/3/2018,48,52,32,37
3/4/2018,40,51,26,21
3/5/2018,39,56,27,34
3/6/2018,51,56,46,49
3/7/2018,48,64,38,40
3/8/2018,60,69,33,46
3/9/2018,43,56,31,32
3/10/2018,46,58,26,39
3/11/2018,43,52,24,32
3/12/2018,48,65,29,31
