Category: Worldwide,,,,
,,,,
Day,PCOS: Worldwide,Polycystic ovary syndrome: Worldwide,PCOS: United States,Polycystic ovary syndrome: United States
7/1/2019,53,64,46,43
7/2/2019,61,53,36,40
7/3/2019,51,64,39,27
7/4/2019,58,57,32,34
7/5/2019,45,53,39,37
7/6/2019,47,48,25,34
7/7/2019,54,51,42,46
7/8/2019,58,63,56,50
7/9/2019,58,64,49,60
7/10/2019,64,69,45,46
7/11/2019,69,66,49,52
7/12/2019,71,63,40,42
7/13/2019,58,58,45,41
7/14/2019,49,54,36,34
7/15/2019,58,67,47,52
7/16/2019,100,100,100,100
7/17/2019,75,72,62,45
7/18/2019,72,70,59,52
7/19/2019,55,62,48,38
7/20/2019,69,63,55,41
7/21/2019,60,60,47,57
7/22/2019,53,63,43,45
7/23/2019,62,70,72,46
7/24/2019,70,67,50,56
7/25/2019,69,61,40,44
7/26/2019,56,71,31,39
7/27/2019,54,58,37,36
7/28/2019,49,54,41,36
7/29/2019,74,76,58,63
7/30/2019,99,80,86,93
7/31/2019,54,63,39,50
8/1/2019,76,69,60,52
8/2/2019,52,60,56,54
8/3/2019,51,57,35,39
8/4/2019,59,54,42,41
8/5/2019,68,63,57,49
8/6/2019,76,70,59,61
8/7/2019,60,73,49,59
8/8/2019,63,68,50,53
8/9/2019,74,74,58,54
8/10/2019,46,56,46,45
8/11/2019,60,49,30,42
8/12/2019,52,59,45,48
8/13/2019,68,78,63,51
8/14/2019,71,70,57,68
8/15/2019,68,70,59,57
